candidate,index,condition,role,numerical_usable,terminal_supported,out_v,error_v,gain,band_min_magnitude,band_max_magnitude,bandwidth_hz,current_a,power_w,supply_current_a,input_current_a,feedback_current_a,dc_ac_current_pass,sine_assessed,sine_thd_fraction,sine_gain,sine_min_v,sine_max_v,sine_stationary,sine_all_assessed_pass,predicted_out_v,realization_id,attempt_sha256
A75,24,nominal,DEVELOPMENT,True,True,0.48866141397344987,-0.011338586026550135,-6.035674396423723,6.025806659407538,6.035675387021693,1746392.2615810006,7.527755093411955e-05,7.527733597291278e-05,7.52771600955618e-05,3.9083855775260204e-10,,True,True,0.004472406199850619,6.034747446210956,0.45821930545930323,0.5185637339694833,True,True,0.4902379092860101,a2e90163f56675c7f681837ec45e52af062439236a19674524bf302e31a79ed3,36b25ea8be884a647b6435be63c31958e61be932d126de6e0b1bbc28d61f042a
A75,24,supply_097,DEVELOPMENT,True,True,0.42855148806040577,-0.07144851193959423,-6.058369406096536,6.048372539562026,6.058370409720469,1738340.181391576,7.147121512946221e-05,6.932687457103872e-05,7.147082262073216e-05,3.925087300538435e-10,,False,False,,,,,,,0.43029215613600197,a2e90163f56675c7f681837ec45e52af062439236a19674524bf302e31a79ed3,2fb76216459191bb55434d8da4570f37931f5385ddc8492525428519e08ca77e
A75,25,nominal,DEVELOPMENT,True,True,0.4450714787506268,-0.0549285212493732,-6.048388439559572,6.038391647081891,6.048389443165421,1736916.7549124616,7.461396130557717e-05,7.461374898421911e-05,7.461357526674433e-05,3.8603883284471507e-10,,False,True,0.0043027213439693094,6.047455638757398,0.4145754767821249,0.47504708179890726,True,False,0.4452266067804526,0da281293e65f8ab60f2b34b00d99a0f07398b76787aaaec7799ad617bbeda10,47c469c7047609d709b9a9b9defd0c3a177e29ac27786617f07d40ddbcff1472
A75,25,supply_097,DEVELOPMENT,True,True,0.3867576871899416,-0.11324231281005842,-6.0623653466797425,6.052280140890219,6.062366359215929,1731299.2883140356,7.082655195192052e-05,6.870155358451494e-05,7.082616385798213e-05,3.88093938387922e-10,,False,False,,,,,,,0.3852808536304445,0da281293e65f8ab60f2b34b00d99a0f07398b76787aaaec7799ad617bbeda10,5e9f8038e3e9ec236093064e5f25400a4e83ecdf750dbbb186318cd5eafa3433
A75,26,nominal,DEVELOPMENT,True,True,0.646025149975135,0.14602514997513505,-5.741360790907033,5.7326163220844295,5.741361668546027,1809523.132069512,7.611087898926579e-05,7.611068406750413e-05,7.611052458606277e-05,3.544032030193024e-10,,False,False,,,,,,,0.6500245268470587,2d301c8c4cbef65e2deb9a6b02ac9b39d35b4839890d5673b3fb5ff4c53a908d,ee0964d87058774fb8c9624c1f621079f316d9cb939fd01f16138d60161fc7c6
A75,26,supply_097,DEVELOPMENT,True,True,0.5834265795139404,0.08342657951394039,-5.822960392229984,5.8138243444348365,5.822961309253224,1782853.393230244,7.228314531841912e-05,7.0114460423627e-05,7.228277890449691e-05,3.664139222071816e-10,,False,False,,,,,,,0.5900787736970505,2d301c8c4cbef65e2deb9a6b02ac9b39d35b4839890d5673b3fb5ff4c53a908d,544d409258441bb8de16b6ecba0f748e7058a30e961c8290ed7721dff3932360
A75,27,nominal,DEVELOPMENT,True,True,0.4405314618145207,-0.059468538185479314,-5.987800291384565,5.9778670035510215,5.987801288635334,1733718.7599987455,7.409619151017477e-05,7.409598525713138e-05,7.409581650464131e-05,3.750055334620847e-10,,False,False,,,,,,,0.4406056854229914,591bd112c830c67db6bafa3789b66fc1c5082f1545d0537098ee6cdc67277d54,9ead3297eea6324fbf087ea6a037d498dd206e35ef3545de167dcf1506a94ad0
A75,27,supply_097,DEVELOPMENT,True,True,0.38274016573615277,-0.11725983426384723,-6.000675817948077,5.9906591429544225,6.000676823623464,1728361.9539576063,7.031577138354373e-05,6.820610211252418e-05,7.031539421140288e-05,3.7717214085037504e-10,,False,False,,,,,,,0.3806599322729833,591bd112c830c67db6bafa3789b66fc1c5082f1545d0537098ee6cdc67277d54,39cc4a1c03425507b1d3508521e6ff87300c370658fedd3e0d442a401054e2d7
A75,28,nominal,DEVELOPMENT,True,True,0.4140769759052726,-0.08592302409472741,-6.0321491672845164,6.022113430375558,6.032150174840774,1731230.692815962,7.395546749640698e-05,7.395525729830592e-05,7.395508531804142e-05,3.821783655603289e-10,,False,False,,,,,,,0.41436350560860324,be2f18a3b189830d028032f8d5e5ab326d2bf7a676e58afd7bf53cc1512be3d5,78aa10d4b4d66e832fc93c7d056798ed22982d06fae135aaec060ae0081fc80c
A75,28,supply_097,DEVELOPMENT,True,True,0.35684734453743017,-0.14315265546256983,-6.0393042919537,6.029212035264362,6.039305305231211,1727409.4503593908,7.017839663528999e-05,6.807284423048505e-05,7.017801104731644e-05,3.8558797355123936e-10,,False,False,,,,,,,0.35441775245859514,be2f18a3b189830d028032f8d5e5ab326d2bf7a676e58afd7bf53cc1512be3d5,175571f4497d7e3202ef83b4a14792f425b3342180d3582d6e62b6d8435c3fb1
