candidate,frequency_hz,gain_real,gain_imag
A75,1000.0,-6.00000180105283,0.00343540628059803
A75,1029.2005271944283,-6.000001684571028,0.0035357218865187945
A75,1059.2537251772892,-6.000001561187241,0.0036389667548316373
A75,1090.1844923851281,-6.000001430492519,0.0037452264209847717
A75,1122.018454301964,-6.000001292053652,0.0038545889180562586
A75,1154.781984689459,-6.00000114541177,0.003967144849681595
A75,1188.5022274370194,-6.000000990080822,0.004082987465110409
A75,1223.2071190499325,-6.000000825545944,0.00420221273645437
A75,1258.9254117941682,-6.000000651261772,0.004324919438190339
A75,1295.6866975170205,-6.00000046665062,0.004451209228984481
A75,1333.5214321633252,-6.000000271100587,0.004581186735905148
A75,1372.4609610075634,-6.0000000639634985,0.004714959641094143
A75,1412.5375446227558,-5.99999984455278,0.004852638770968185
A75,1453.7843856076636,-5.999999612141181,0.004994338188024343
A75,1496.2356560944354,-5.999999365958346,0.005140175285325415
A75,1539.926526059494,-5.999999105188282,0.005290270883743424
A75,1584.8931924611159,-5.9999988289666435,0.005444749332041756
A75,1631.1729092278408,-5.999998536377876,0.005603738609878642
A75,1678.804018122563,-5.999998226452165,0.00576737043381725
A75,1727.8259805078665,-5.999997898162234,0.005935780366430086
A75,1778.279410038926,-5.999997550419941,0.006109107928587937
A75,1830.2061063110596,-5.999997182072664,0.006287496715026184
A75,1883.6490894898043,-5.9999967918994885,0.006471094513284109
A75,1938.6526359522113,-5.9999963786071575,0.006660053426115507
A75,1995.2623149688839,-5.999995940825778,0.006854529997471823
A75,2053.5250264571505,-5.999995477104284,0.00705468534216193
A75,2113.4890398366515,-5.9999949859056505,0.007260685279295792
A75,2175.2040340195276,-5.999994465601753,0.007472700469622167
A75,2238.721138568345,-5.999993914468006,0.00769090655687397
A75,2304.092976055851,-5.999993330677645,0.007915484313238
A75,2371.373705661661,-5.999992712295654,0.00814661978906918
A75,2440.6190680419863,-5.999992057272365,0.008384504466973046
A75,2511.8864315095866,-5.999991363436662,0.008629335420383572
A75,2585.2348395621975,-5.999990628488783,0.008881315476767451
A75,2660.725059798817,-5.999989849992701,0.009140653385589328
A75,2738.4196342643686,-5.999989025368047,0.009407563991176798
A75,2818.3829312644616,-5.99998815188156,0.009682268410627625
A75,2900.681198693162,-5.999987226638019,0.009964994216905986
A75,2985.3826189179686,-5.999986246570662,0.010255975627278856
A75,3072.557365267456,-5.999985208431012,0.010555453697247601
A75,3162.277660168389,-5.999984108778113,0.010863676520134874
A75,3254.617834980469,-5.999982943967123,0.01118089943249113
A75,3349.6543915782872,-5.999981710137233,0.011507385225489936
A75,3447.466065731505,-5.999980403198884,0.011843404362486184
A75,3548.133892335766,-5.999979018820189,0.012189235202916175
A75,3651.741272548389,-5.999977552412593,0.012545164232723872
A75,3758.3740428844544,-5.999975999115671,0.012911486301502826
A75,3868.120546330535,-5.9999743537809875,0.013288504866548544
A75,3981.0717055349864,-5.999972610955083,0.013676532244022087
A75,4097.32109813543,-5.999970764861354,0.01407588986743084
A75,4216.965034285838,-5.9999688093809365,0.014486908553638954
A75,4340.102636447455,-5.999966738032406,0.01490992877662536
A75,4466.835921509648,-5.999964543950316,0.015345300949214023
A75,4597.2698853087395,-5.999962219862442,0.015793385713007202
A75,4731.512589614823,-5.999959758065666,0.01625455423675898
A75,4869.67525165865,-5.999957150400461,0.01672918852343348
A75,5011.872336272742,-5.999954388223848,0.017217681726198465
A75,5158.221650723077,-5.999951462380755,0.017720438473612918
A75,5308.8444423099045,-5.999948363173669,0.018237875204273498
A75,5463.865498818564,-5.999945080330504,0.018770420511193365
A75,5623.413251903514,-5.999941602970574,0.019318515496193626
A75,5787.61988349123,-5.999937919568508,0.019882614134595782
A75,5956.62143529013,-5.999934017916073,0.020463183650512112
A75,6130.557921498234,-5.999929885081728,0.021060704903038546
A75,6309.57344480196,-5.9999255073677595,0.02167567278366318
A75,6493.816315762142,-5.999920870264896,0.022308596625212836
A75,6683.439175686176,-5.999915958404224,0.02296000062266808
A75,6878.599123088107,-5.999910755506276,0.023630424266187215
A75,7079.457843841412,-5.9999052443270795,0.02432042278668809
A75,7286.181745132311,-5.999899406601024,0.02503056761434705
A75,7498.942093324594,-5.99989322298033,0.025761446850383403
A75,7717.915155850161,-5.999886672970967,0.0265136657525084
A75,7943.282347242854,-5.999879734864739,0.02728784723442731
A75,8175.23037943654,-5.999872385667361,0.028084632379794097
A75,8413.951416451991,-5.999864601022284,0.028904680971028766
A75,8659.643233600696,-5.999856355130008,0.029748672033418286
A75,8912.5093813375,-5.999847620662601,0.030617304394932928
A75,9172.759353897844,-5.9998383686731795,0.03151129726220159
A75,9440.608762859283,-5.999828568500024,0.032431390813101
A75,9716.279515771113,-5.999818187664997,0.03337834680642515
A75,10000.000000000055,-5.999807191765974,0.03435294920911415
A75,10292.00527194434,-5.999795544362907,0.035356004841532604
A75,10592.537251772948,-5.999783206857105,0.036388344041301056
