candidate,frequency_hz,gain_real,gain_imag
R37,1000.0,-5.999999999999938,0.00044267399214934004
R37,1029.2005271944283,-5.999999998077135,0.0004556003059502829
R37,1059.2537251772892,-5.999999996040598,0.0004689040749158254
R37,1090.1844923851281,-5.999999993883584,0.00048259632093458827
R37,1122.018454301964,-5.999999991597626,0.000496688387739933
R37,1154.781984689459,-5.999999989177159,0.0005111919503083754
R37,1188.5022274370194,-5.999999986612172,0.0005261190245314369
R37,1223.2071190499325,-5.999999983894854,0.000541481977171095
R37,1258.9254117941682,-5.999999981018877,0.0005572935361053384
R37,1295.6866975170205,-5.999999977970726,0.0005735668008721196
R37,1333.5214321633252,-5.99999997474298,0.0005903152535232546
R37,1372.4609610075634,-5.999999971322963,0.0006075527697929317
R37,1412.5375446227558,-5.99999996770136,0.000625293630594284
R37,1453.7843856076636,-5.999999963863516,0.0006435525338499186
R37,1496.2356560944354,-5.99999995980074,0.0006623446066699956
R37,1539.926526059494,-5.999999955493587,0.000681685417882888
R37,1584.8931924611159,-5.999999950933812,0.0007015909909360168
R37,1631.1729092278408,-5.99999994610299,0.0007220778171685194
R37,1678.804018122563,-5.999999940986483,0.0007431628694755223
R37,1727.8259805078665,-5.9999999355666835,0.0007648636163690055
R37,1778.279410038926,-5.9999999298263385,0.0007871980364504563
R37,1830.2061063110596,-5.999999923745113,0.0008101846333052757
R37,1883.6490894898043,-5.99999991730356,0.0008338424508330765
R37,1938.6526359522113,-5.999999910479697,0.0008581910890246465
R37,1995.2623149688839,-5.999999903252951,0.0008832507202006265
R37,2053.5250264571505,-5.9999998955974085,0.0009090421057228204
R37,2113.4890398366515,-5.999999887488415,0.0009355866131954232
R37,2175.2040340195276,-5.999999878898466,0.000962906234166956
R37,2238.721138568345,-5.99999986979981,0.0009910236023501196
R37,2304.092976055851,-5.999999860161682,0.0010199620123728188
R37,2371.373705661661,-5.999999849952189,0.0010497454390774772
R37,2440.6190680419863,-5.999999839138894,0.0010803985573837067
R37,2511.8864315095866,-5.999999827683349,0.0011119467627298601
R37,2585.2348395621975,-5.99999981554966,0.0011444161921140331
R37,2660.725059798817,-5.999999802697676,0.0011778337457466648
R37,2738.4196342643686,-5.999999789082884,0.001212227109336569
R37,2818.3829312644616,-5.9999997746642375,0.0012476247770293895
R37,2900.681198693162,-5.999999759387362,0.0012840560750107836
R37,2985.3826189179686,-5.9999997432083845,0.0013215511858073188
R37,3072.557365267456,-5.999999726069108,0.0013601411732866119
R37,3162.277660168389,-5.999999707914163,0.0013998580083965264
R37,3254.617834980469,-5.999999688684815,0.001440734595650892
R37,3349.6543915782872,-5.999999668314116,0.0014828048003887326
R37,3447.466065731505,-5.999999646738663,0.0015261034768335386
R37,3548.133892335766,-5.999999623882413,0.0015706664969649558
R37,3651.741272548389,-5.9999995996730755,0.0016165307802417403
